artist_names,track_name,peak_streams,total_streams,peak_rank_max,max_days_on_chart,best_day_streams,first_appearance,uri,source,best_day_date,genres
"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),7315213,1029630379,1,536,7315213,2023-11-03,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,BIGHIT MUSIC,2023-11-03,[]
Olivia Rodrigo,vampire,9794245,1013556901,1,373,9794245,2023-06-30,spotify:track:3k79jB4aGmMDUQzEwa46Rz,Olivia Rodrigo PS,2023-06-30,['Pop']
Bad Bunny,Efecto,5752670,1013471014,15,414,5752670,2023-01-01,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Rimas Entertainment LLC,2022-05-06,['Latin Musik']
Harry Styles,Adore You,4506154,1009579764,11,763,4506154,2022-01-19,spotify:track:3jjujdWJ72nww5eGnfs2E7,Columbia,2019-12-13,['Pop']
Olivia Rodrigo,traitor,5255353,1003224656,8,561,5255353,2023-06-27,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo PS,2021-05-21,['Pop']
Tommy Richman,MILLION DOLLAR BABY,12657599,1002415384,108,249,12657599,2024-04-26,spotify:track:7fzHQizxTqy8wTXwlrgPQQ,PULSE Records,2024-05-16,['Rap/Hip Hop']
Taylor Swift,Blank Space,3018571,998787286,122,776,3018571,2023-01-02,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,"Big Machine Records, LLC",2023-08-10,[]
Steve Lacy,Dark Red,1603560,998457341,146,855,1603560,2023-01-01,spotify:track:3EaJDYHA0KnX88JvDhL9oa,Three Quarter,2023-11-30,['R&B']
Shaboozey,A Bar Song (Tipsy),7604741,997943777,180,261,7604741,2024-04-12,spotify:track:2FQrifJ1N335Ljm3TjTVVf,American Dogwood / EMPIRE,2024-05-10,['Country']
Brenda Lee,Rockin' Around The Christmas Tree,21635497,997810081,3,336,21635497,2023-11-12,spotify:track:2EjXfH91m7f8HiJN1yQg97,MCA Nashville,2024-12-24,[]
"Powfu, beabadoobee",death bed (coffee for your head),4310576,996600650,176,552,4310576,2020-02-14,spotify:track:7eJMfftS33KTjuF7lTsMCx,Columbia,2020-04-17,"['Rap/Hip Hop', 'Pop', 'R&B']"
Arizona Zervas,ROXANNE,5525015,995783852,163,495,5525015,2020-01-01,spotify:track:696DnlkuDOXcMAnKlTgXXK,Arizona Zervas,2019-12-31,['Rap/Hip Hop']
Travis Scott,SICKO MODE,3692741,990156849,2,1037,3692741,2020-01-01,spotify:track:2xLMifQCjDGFmkHkpNLD9h,Cactus Jack / Epic,2020-04-25,['Rap/Hip Hop']
"Lil Nas X, Billy Ray Cyrus",Old Town Road (feat. Billy Ray Cyrus) - Remix,5546821,985929961,20,474,5546821,2020-01-01,spotify:track:2YpeDb67231RjR0MgVLzsG,Columbia,2019-05-25,['Alternative']
Morgan Wallen,Last Night,4011329,984268484,71,549,4011329,2023-01-31,spotify:track:59uQI0PADDKeE6UZDTJEe8,Big Loud Records / Mercury Records / Republic Records,2023-03-03,['Country']
Trevor Daniel,Falling,4412756,982630578,135,527,4412756,2020-01-01,spotify:track:4TnjEaWOeW0eKTKIEvJyCa,Alamo,2020-02-14,['Pop']
